,screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
screen_size,1.0,0.1503157553305201,0.2716403646808631,0.07129088496520948,0.2744493188629462,0.8135331874762848,0.8288897828437946,0.36422273361689883,-0.291722631639092,0.6147847018380167,0.46088898432716424
rear_camera_mp,0.1503157553305201,1.0,0.42926365522939064,0.018765738320017565,0.26080166050011366,0.24856292120204018,-0.08773781108624265,0.35372826751004466,-0.1446723439135654,0.5873019744600583,0.5416552542364402
front_camera_mp,0.2716403646808631,0.42926365522939064,1.0,0.2964258677793226,0.47741132547274046,0.3697093570884225,-0.004996735043872622,0.6909421819909611,-0.552635796249795,0.6080742599038147,0.47547856821164897
internal_memory,0.07129088496520948,0.018765738320017565,0.2964258677793226,1.0,0.12249629292902392,0.11773624569324508,0.0149479168889781,0.23542911137841296,-0.2427120047591652,0.19099284702277655,0.1959915006055119
ram,0.2744493188629462,0.26080166050011366,0.47741132547274046,0.12249629292902392,1.0,0.28073972716462764,0.08991630609032444,0.31420261881347383,-0.28006602312254153,0.5202887446612737,0.5320557081251118
battery,0.8135331874762848,0.24856292120204018,0.3697093570884225,0.11773624569324508,0.28073972716462764,1.0,0.7033884965632223,0.4886598761440566,-0.3708947595189499,0.6136190312815626,0.47075390030009634
weight,0.8288897828437946,-0.08773781108624265,-0.004996735043872622,0.0149479168889781,0.08991630609032444,0.7033884965632223,1.0,0.0712902862213212,-0.0674704313775677,0.3823536956648595,0.26953961220188805
release_year,0.36422273361689883,0.35372826751004466,0.6909421819909611,0.23542911137841296,0.31420261881347383,0.4886598761440566,0.0712902862213212,1.0,-0.7503899934944932,0.5097904825969944,0.3036890824669961
days_used,-0.291722631639092,-0.1446723439135654,-0.552635796249795,-0.2427120047591652,-0.28006602312254153,-0.3708947595189499,-0.0674704313775677,-0.7503899934944932,1.0,-0.3582640944719532,-0.21662493961516135
normalized_used_price,0.6147847018380167,0.5873019744600583,0.6080742599038147,0.19099284702277655,0.5202887446612737,0.6136190312815626,0.3823536956648595,0.5097904825969944,-0.3582640944719532,1.0,0.8344960187989918
normalized_new_price,0.46088898432716424,0.5416552542364402,0.47547856821164897,0.1959915006055119,0.5320557081251118,0.47075390030009634,0.26953961220188805,0.3036890824669961,-0.21662493961516135,0.8344960187989918,1.0
